Date,Close,High,Low,Open,Volume
2016-06-15,35.63184356689453,35.833068539951206,35.552049347568364,35.63581021157623,24290000
2016-06-16,35.207584381103516,35.519334652020866,34.855683651976946,35.43309322233755,39650000
2016-06-17,34.283729553222656,35.131260493421266,34.12175885581634,35.12283184597955,68048000
2016-06-20,34.38236618041992,34.81703335274774,34.3674978783617,34.63315344621484,41650000
2016-06-21,34.492889404296875,34.831404169187834,34.29810407142827,34.61481174254199,29312000
2016-06-22,34.56822204589844,34.73673448435697,34.351232597722685,34.64752090477363,23686000
2016-06-23,34.78679656982422,34.79076321488857,34.049794673139594,34.567731127962425,43428000
2016-06-24,33.465938568115234,34.16874171594595,33.378211068762646,33.46345799744388,88980000
2016-06-27,33.12097930908203,33.32121734245189,32.874355356700434,33.256783001540484,52580000
2016-06-28,33.704833984375,33.71920692696882,33.35591293599242,33.6518042166992,43476000
2016-06-29,33.906558990478516,34.07105564007405,33.772736719567156,33.85154400829458,38652000
2016-06-30,34.302555084228516,34.31346051830237,33.883747089678025,33.97395136493175,31954000
2016-07-01,34.65495681762695,34.7263299537394,34.30405055759522,34.30752184442707,26894000
2016-07-05,34.443817138671875,34.54244629395022,34.14296853141426,34.498832113181884,29252000
2016-07-06,34.58358383178711,34.77737463806938,34.15337497265737,34.19748829284096,28238000
2016-07-07,34.464141845703125,34.60489912320933,34.11001386924348,34.59895104676625,26084000
2016-07-08,34.9731559753418,34.977118838926785,34.5174228817103,34.66933139201521,31504000
2016-07-11,35.442012786865234,35.512391411330455,35.052941358298945,35.09308803012074,22236000
2016-07-12,35.71709060668945,35.8310834172293,35.48265777065686,35.64175461636287,26738000
2016-07-13,35.53568649291992,35.88362055281532,35.5292430595131,35.864785610444805,18718000
2016-07-14,35.73246383666992,35.794912976537596,35.587739892972955,35.763686515924384,19004000
2016-07-15,35.677940368652344,35.969865014633,35.63853861464503,35.969369656689146,25586000
2016-07-18,36.36835479736328,36.48482820583455,35.744358777867134,35.81969478582029,25910000
2016-07-19,36.52595901489258,36.52744508856535,36.13143859631312,36.17554813675314,24550000
2016-07-20,36.73561477661133,36.78220110923474,36.53289994661063,36.5443007414856,25794000
2016-07-21,36.60873031616211,36.76039302545407,36.4700036328123,36.69447639165589,20526000
2016-07-22,36.812442779541016,36.837222023604426,36.506141374555796,36.76882480605232,25196000
2016-07-25,36.66523361206055,36.8059946746633,36.552726858652356,36.70984229588928,20648000
2016-07-26,36.598323822021484,36.760392827838515,36.392636851153135,36.62905113749674,23734000
2016-07-27,36.76436233520508,36.897685467544186,36.52794424909396,36.591387879316486,30250000
2016-07-28,36.96955490112305,37.1053548266164,36.64194178763159,37.02556060091092,70604000
2016-07-29,38.103553771972656,38.587291609081284,38.003438526752426,38.29784374835355,76830000
2016-08-01,38.3062629699707,38.68046236156237,37.72191461580153,37.72191461580153,54010000
2016-08-02,38.216552734375,38.452967000532574,38.05696053170421,38.09859328022703,35690000
2016-08-03,38.321128845214844,38.32261491875635,38.0059073119654,38.02375153853631,25748000
2016-08-04,38.243324279785156,38.365246619446914,38.10380349801858,38.273556240384224,22806000
2016-08-05,38.76918029785156,38.80982233174047,38.27949824104285,38.35086758860698,36024000
2016-08-08,38.74637985229492,38.78949867262128,38.564530585583135,38.758272221840336,22158000
2016-08-09,38.87029266357422,39.10224494958363,38.68740349865791,38.7136725932424,26378000
2016-08-10,38.89111328125,38.99677956297242,38.79684401402484,38.84501852122294,15728000
2016-08-11,38.899532318115234,39.14239003091745,38.80635209610087,38.9069664677979,19502000
2016-08-12,38.81874465942383,38.827419094741636,38.67897810396746,38.733497724025085,14810000
2016-08-15,38.78009033203125,39.03038221741594,38.664607650403106,38.8450162535622,18764000
2016-08-16,38.51740264892578,38.70772597097734,38.334218531198175,38.67402272514079,20560000
2016-08-17,38.65468978881836,38.69929846872975,38.338477510365344,38.52632402998544,18484000
2016-08-18,38.535247802734375,38.80090713102395,38.51046478035006,38.659650709878335,14388000
2016-08-19,38.43215560913086,38.51542111697214,38.318658142379896,38.41133923217054,17230000
2016-08-22,38.27008056640625,38.38853916817266,38.16599868771947,38.325594683063855,19028000
2016-08-23,38.26661682128906,38.48271010760235,38.25199430850321,38.43512927533329,18564000
2016-08-24,38.14567947387695,38.38655577061738,38.018304423945224,38.19226958788048,21440000
2016-08-25,38.13428497314453,38.25720180989408,37.82575259570942,38.01483564206468,18538000
2016-08-26,38.14072799682617,38.464869818319116,37.95783881753139,38.113963542228966,23334000
2016-08-29,38.27008056640625,38.41084161760026,37.99575060691603,38.101072771023674,16952000
2016-08-30,38.11842346191406,38.38487689186753,38.00690741702997,38.130319615900206,22600000
2016-08-31,38.01731491088867,38.118420868817275,37.93454475930294,38.015329697786996,24972000
2016-09-01,38.10305404663086,38.214074716775606,37.88101270634136,38.12635099311457,18502000
2016-09-02,38.23588180541992,38.35780411853998,38.084714472615886,38.31270386643618,21454000
2016-09-06,38.663124084472656,38.75828197156096,38.21308948189258,38.33452024795921,28856000
2016-09-07,38.67650604248047,38.794465520605385,38.470819047365715,38.65915716972403,17874000
2016-09-08,38.42719650268555,38.67650143831531,38.34095885120713,38.58926928967216,25406000
2016-09-09,37.651039123535156,38.324351457006934,37.651039123535156,38.16847632988548,37710000
2016-09-12,38.11495590209961,38.17790039636937,37.370519846177075,37.426525547524506,26220000
2016-09-13,37.652530670166016,37.97617712277829,37.459730557076384,37.889935685171935,27900000
2016-09-14,37.79130172729492,38.04853237099722,37.62378001534215,37.64855925281284,21748000
2016-09-15,38.250755310058594,38.35186126334885,37.66591155713623,37.81113083420105,26102000
2016-09-16,38.10801696777344,38.151135799053904,37.898862464942134,38.151135799053904,40986000
2016-09-19,37.95040512084961,38.361779103677264,37.88800514415486,38.28346717073894,23456000
2016-09-20,38.23340606689453,38.32856772430112,38.09066358078464,38.11396052790703,19572000
2016-09-21,38.47180938720703,38.518399504718474,38.079319505118086,38.295363639027585,23356000
2016-09-22,39.016502380371094,39.14734871310558,38.581835272090636,38.659152700216,29724000
2016-09-23,39.00114059448242,39.10175119304785,38.86484153689265,38.98577315461434,28238000
2016-09-26,38.37218475341797,38.794959524744144,38.315683696818034,38.794959524744144,30664000
2016-09-27,38.80834197998047,38.95603805699175,38.37704402437922,38.436123967727085,23064000
2016-09-28,38.736473083496094,38.74886459478362,38.409854475326654,38.55259697138792,22196000
2016-09-29,38.411834716796875,38.94662086649316,38.37327620697589,38.73052380664714,26294000
2016-09-30,38.52482986450195,38.70573757201523,38.36622838512757,38.47725282391143,31706000
2016-10-03,38.2904052734375,38.46412465761362,38.13874255254471,38.37416992371219,25576000
2016-10-04,38.482208251953125,38.59521412752054,38.30675703493949,38.462382593408705,24028000
2016-10-05,38.484195709228516,38.76174738232227,38.443553674045795,38.624952977338076,29224000
2016-10-06,38.50352096557617,38.68293883141532,38.438099693933886,38.609588052424684,21414000
2016-10-07,38.41530227661133,38.64230097019689,38.20069131136922,38.64230097019689,18664000
2016-10-10,38.953556060791016,39.12405370605252,38.454454634765455,38.545653424013764,23498000
2016-10-11,38.81131362915039,39.26778786299042,38.687901437248364,38.98924544549227,27450000
2016-10-12,38.96346664428711,39.06209958221931,38.76125097100845,38.84550718642807,18748000
2016-10-13,38.5694465637207,38.71962320973599,38.312215882068024,38.71962320973599,27306000
2016-10-14,38.58629608154297,38.854927557059966,38.46090245871081,38.74093472952466,17050000
2016-10-17,38.65717697143555,38.949101637610106,38.535250844362935,38.649247462427006,21860000
2016-10-18,39.41548538208008,39.73021159879954,38.93497308181445,39.048224757160746,41138000
2016-10-19,39.72475814819336,39.87840228802149,39.55277442187757,39.56318071920005,35336000
2016-10-20,39.50023651123047,39.847179895079755,39.453646398507914,39.813972008550294,35150000
2016-10-21,39.61919021606445,39.62563365078088,39.35303930496392,39.40260156953442,25324000
2016-10-24,40.3001823425293,40.40277814836706,39.889307542635464,39.89327040584193,33950000
2016-10-25,40.03056716918945,40.4771305041525,39.90517353392061,40.4771305041525,31528000
2016-10-26,39.60432052612305,39.99636418874309,39.468025248672895,39.96464615558218,32954000
2016-10-27,39.419952392578125,39.82339310313184,39.229133694112704,39.69998090286995,54984000
2016-10-28,39.42094039916992,40.41814887358918,39.332717527998646,40.064266673021905,85398000
2016-10-31,38.88417434692383,39.49478811411705,38.85740989160928,39.425895543987664,48546000
2016-11-01,38.838077545166016,39.12950682782281,38.438104373075426,38.802392867075554,48128000
2016-11-02,38.099090576171875,38.74093070589423,37.83888399398884,38.56993770099229,37448000
2016-11-03,37.77346420288086,38.16104966178587,37.61982004668199,38.02722738653783,38864000
2016-11-04,37.76801300048828,38.1813683923846,37.200068122053146,37.204976325016,42696000
2016-11-07,38.78404998779297,38.91638239093653,38.28990591102998,38.38655363911165,31702000
2016-11-08,39.18006134033203,39.433971971566,38.668568379184634,38.827665238339605,27338000
2016-11-09,38.92232894897461,39.215595935427984,38.24629023666212,38.65617807938978,52142000
2016-11-10,37.794769287109375,39.21276710906183,37.28030799895967,39.21276710906183,94904000
2016-11-11,37.37150573730469,37.7065529675542,37.19109714461574,37.496403993781655,48636000
2016-11-14,36.48234558105469,37.561333404940186,36.05907548932524,37.44981359410824,73088000
2016-11-15,37.59305191040039,37.8867613358734,37.02208574842265,37.02208574842265,47680000
2016-11-16,37.88993453979492,37.983114766973166,37.19754139565375,37.42998904296732,29452000
2016-11-17,38.2244873046875,38.2973427335739,37.877543906350624,38.010870815942454,26080000
2016-11-18,37.69465637207031,38.411337155353586,37.66789192008868,38.23142392268417,30942000
2016-11-21,38.12387466430664,38.14865768723211,37.69763238322574,37.79725605151904,26612000
2016-11-22,38.07777786254883,38.50847829929951,38.014829598963885,38.29387111773527,31862000
